CS(12-11)  587616.2402
CS(13-12)  636531.8412
CS(14-13)  685434.7644
CS(15-14)  734323.9973
CS(16-15)  783198.5190
CS(17-16)  832057.2996
CS(18-17)  880899.2998
CS(19-18)  929723.4703
CS(20-19)  978528.7509
CS(21-20) 1027314.0704
CS(22-21) 1076078.3456
CS(23-22) 1124820.4807
CS(24-23) 1173539.3671
CS(25-24) 1222233.8823
CS(26-25) 1270902.8897
CS(27-26) 1319545.2380
CS(28-27) 1368159.7602
CS(29-28) 1416745.2734
CS(30-29) 1465300.5781
CS(31-30) 1513824.4577

HNC(1-0)     90663.5930
HNC(2-1)    181324.7580
HNC(3-2)    271981.1420
HNC(4-3)    362630.3030
HNC(5-4)    453269.8531
HNC(6-5)    543897.3856
HNC(7-6)    634510.4973
HNC(8-7)    725106.7847
HNC(9-8)    815683.8445
HNC(10-9)   906239.2730
HNC(11-10)  996770.6669
HNC(12-11) 1087275.6227
HNC(13-12) 1177751.7370
HNC(14-13) 1268196.6062
HNC(15-14) 1358607.8268
HNC(16-15) 1448982.9956
HNC(17-16) 1539319.7088
HNC(18-17) 1629615.5632
HNC(19-18) 1719868.1552
HNC(20-19) 1810075.0814
HNC(21-20) 1900233.9383
HNC(22-21) 1990342.3224
HNC(23-22) 2080397.8304
HNC(24-23) 2170398.0586
HNC(25-24) 2260340.6037
HNC(26-25) 2350223.0621
HNC(27-26) 2440043.0305
HNC(28-27) 2529798.1053
HNC(29-28) 2619485.8832
HNC(30-29) 2709103.9605
HNC(31-30) 2798649.9339

CN(1-0)	  113123.37
CN(2-1)	  226287.42
CN(3-2)	  339446.78
CN(4-3)	  452589.69
CN(5-4)	  565713.31
CN(6-5)	  678813.47
CN(7-6)	  791885.76
CN(8-7)	  904925.64
CN(9-8)	 1017928.58
CN(10-9) 1130889.98

CH+(1-0)  835070.9678
CH+(2-1) 1669159.5100
CH+(3-2) 2501284.2090

CCH(1-0)	 87284.10
CCH(2-1)	174549.76
CCH(3-2)	261834.47
CCH(4-3)	349108.50
CCH(5-4)	436636.95
CCH(6-5)	523948.13
CCH(7-6)	611243.95
CCH(8-7)	698521.91
CCH(9-8)	785779.51
CCH(10-9)	873014.23

HOC+(1-0)     89487.4140
HOC+(2-1)    178972.0510
HOC+(3-2)    268451.0940
HOC+(4-3)    357921.9870
HOC+(5-4)    447381.7656
HOC+(6-5)    536827.7599
HOC+(7-6)    626257.1949
HOC+(8-7)    715667.3107
HOC+(9-8)    805055.3473
HOC+(10-9)   894418.5450
HOC+(11-10)  983754.1438
HOC+(12-11) 1073059.3838
HOC+(13-12) 1162331.5051
HOC+(14-13) 1251567.7479
HOC+(15-14) 1340765.3522
HOC+(16-15) 1429921.5582
HOC+(17-16) 1519033.6060
HOC+(18-17) 1608098.7357
HOC+(19-18) 1697114.1873
HOC+(20-19) 1786077.2011
HOC+(21-20) 1874985.0171
HOC+(22-21) 1963834.8754
HOC+(23-22) 2052624.0162
HOC+(24-23) 2141349.6796
HOC+(25-24) 2230009.1056
HOC+(26-25) 2318599.5343
HOC+(27-26) 2407118.2060
HOC+(28-27) 2495562.3607
HOC+(29-28) 2583929.2384
HOC+(30-29) 2672216.0794
HOC+(31-30) 2760420.1238

SiO(1-0)     43423.7600
SiO(2-1)     86846.9600
SiO(3-2)    130268.6100
SiO(4-3)    173688.3100
SiO(5-4)    217104.9800
SiO(6-5)    260518.0200
SiO(7-6)    303926.9600
SiO(8-7)    347330.6310
SiO(9-8)    390728.4483
SiO(10-9)   434119.5521
SiO(11-10)  477503.0965
SiO(12-11)  520878.2039
SiO(13-12)  564243.9620
SiO(14-13)  607599.4207
SiO(15-14)  650943.5888
SiO(16-15)  694275.4309
SiO(17-16)  737593.8640
SiO(18-17)  780897.7550
SiO(19-18)  824185.9168
SiO(20-19)  867457.1055
SiO(21-20)  910710.0172
SiO(22-21)  953943.2851
SiO(23-22)  997155.4756
SiO(24-23) 1040345.0860
SiO(25-24) 1083510.5408
SiO(26-25) 1126650.1888
SiO(27-26) 1169762.2998
SiO(28-27) 1212845.0615
SiO(29-28) 1255896.5762
SiO(30-29) 1298914.8581
SiO(31-30) 1341897.8295

HC3N(1-0)      9097.0346
HC3N(2-1)     18194.9360
HC3N(3-2)     27292.9040
HC3N(4-3)     36390.8920
HC3N(5-4)     45488.8341
HC3N(6-5)     54586.7291
HC3N(7-6)     63686.0520
HC3N(8-7)     72783.8220
HC3N(9-8)     81881.4614
HC3N(10-9)    90979.0230
HC3N(11-10)  100076.3920
HC3N(12-11)  109173.6340
HC3N(13-12)  118270.7322
HC3N(14-13)  127367.6660
HC3N(15-14)  136464.4013
HC3N(16-15)  145560.9460
HC3N(17-16)  154657.2840
HC3N(18-17)  163753.3890
HC3N(19-18)  172849.3000
HC3N(20-19)  181944.9230
HC3N(21-20)  191040.2990
HC3N(22-21)  200135.3920
HC3N(23-22)  209230.2340
HC3N(24-23)  218324.7880
HC3N(25-24)  227418.9062
HC3N(26-25)  236512.7768
HC3N(27-26)  245606.3080
HC3N(28-27)  254699.5000
HC3N(29-28)  263792.3080
HC3N(30-29)  272884.7343
HC3N(31-30)  281976.7772
HC3N(32-31)  291068.4270
HC3N(33-32)  300159.6470
HC3N(34-33)  309250.4300
HC3N(35-34)  318340.7714
HC3N(36-35)  327430.6710
HC3N(37-36)  336520.0840
HC3N(38-37)  345609.0100
HC3N(39-38)  354697.4555
HC3N(40-39)  363785.3970
HC3N(41-40)  372872.8110
HC3N(42-41)  381959.6694
HC3N(43-42)  391045.9951
HC3N(44-43)  400131.7596
HC3N(45-44)  409216.9498
HC3N(46-45)  418301.5529
HC3N(47-46)  427385.5556
HC3N(48-47)  436468.9450
HC3N(49-48)  445551.7220
HC3N(50-49)  454633.8316
HC3N(51-50)  463715.3029
HC3N(52-51)  472796.1087
HC3N(53-52)  481876.2360
HC3N(54-53)  490955.6719
HC3N(55-54)  500034.4032
HC3N(56-55)  509112.4170
HC3N(57-56)  518189.7002
HC3N(58-57)  527266.2399
HC3N(59-58)  536342.0230
HC3N(60-59)  545417.0365
HC3N(61-60)  554491.2673
HC3N(62-61)  563564.7026
HC3N(63-62)  572637.3290
HC3N(64-63)  581709.1290
HC3N(65-64)  590780.0960
HC3N(66-65)  599850.2270
HC3N(67-66)  608919.4840
HC3N(68-67)  617987.8760
HC3N(69-68)  627055.3780
HC3N(70-69)  636121.9780
HC3N(71-70)  645187.6690
HC3N(72-71)  654252.4260
HC3N(73-72)  663316.2570
HC3N(74-73)  672379.1310
HC3N(75-74)  681441.0390
HC3N(76-75)  690501.9750
HC3N(77-76)  699561.9190
HC3N(78-77)  708620.8500
HC3N(79-78)  717678.7679
HC3N(80-79)  726735.6584
HC3N(81-80)  735791.5063
HC3N(82-81)  744846.2987
HC3N(83-82)  753899.7000
HC3N(84-83)  762952.6650
HC3N(85-84)  772004.2129
HC3N(86-85)  781054.6534
HC3N(87-86)  790104.3000
HC3N(88-87)  799152.1603
HC3N(89-88)  808199.2007
HC3N(90-89)  817245.0818
HC3N(91-90)  826289.7908
HC3N(92-91)  835333.3145
HC3N(93-92)  844375.6400
HC3N(94-93)  853416.7545
HC3N(95-94)  862456.6449
HC3N(96-95)  871495.2983
HC3N(97-96)  880532.7017
HC3N(98-97)  889568.8423
HC3N(99-98)  898603.7070
HC3N(100-99) 907637.2830

HI		     1420.4058

HF      1232000.4762			
