ID,NED identifier or alternate ID,I/O,year,type,line,z_opt,ez_opt,z_line,ez_line,FWHM,eFWHM,SdV,eSdV,u,eu,reference,Comments,Literature L’ [K km/s pc2],Literature eL’ [K km/s pc2],Literature LIR(8-1000micron) [Lsun],Literature eLIR(8-1000micron) [Lsun],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGS12004280     ,,1,2013,SFG,12CO(3-2)   ,-999,-999,1.023,-999,154,-999,1.24,0.24,1,-999,Tacconi et al. (2013),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGS12004351,,1,2013,SFG,12CO(3-2)   ,-999,-999,1.017,-999,302,-999,2.53,0.34,1,-999,Tacconi et al. (2013),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGS12004754,,1,2013,SFG,12CO(3-2)   ,-999,-999,1.026,-999,69,-999,0.73,0.07,1,-999,Tacconi et al. (2013),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGS12007881,,0,2010,SFG,12CO(3-2)   ,-999,-999,1.17,-999,180,-999,1.15,0.06,1,-999,Tacconi et al. (2010),The FWHM is maximum rotational velocity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGS12007881,,1,2013,SFG,12CO(3-2)   ,-999,-999,1.169,-999,220,-999,1.03,0.07,1,-999,Tacconi et al. (2013),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
